storyline_id,source_label,source_kind,choice_index,choice_text_zh,target_label,target_kind,target_port
storyline_001_2921e3d4be,CL020_012_004,ShowChoice,0,“其实……我怀了礼治的孩子！”,012_C020A_005,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL020_012_004,ShowChoice,1,“媚娘一定尽心跟随皇后”,B01_012_C020B_006,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL050_012_016,ShowChoice,0,和姐姐聊儿时算命趣事,012_C050A_017,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL050_012_016,ShowChoice,1,和姐姐聊儿时糗事,B05_012_C050B_018,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL050_012_016,ShowChoice,2,早点睡,B05_012_C050B_019,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL060_012_021,ShowChoice,0,"当机立断,将此事闹大",012_C060A_022,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL060_012_021,ShowChoice,1,"按下不表,严查饭食",012_C060B_024,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL070_012_025,ShowChoice,0,散播自己腹中骨肉是女孩,012_C070A_026,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL070_012_025,ShowChoice,1,直接给自己下堕胎药,012_C070B_028,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL080_012_029,ShowChoice,1,藏入皇后寝殿中,H04_012_C070B_031,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,C090_012_033,ShowChoice,0,任他被杖毙,B05_012_C090A_034,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,C090_012_033,ShowChoice,1,保他,012_C090B_035,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL100_012_036,ShowChoice,0,为她默哀,012_C100A_037,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL100_012_036,ShowChoice,1,"饶她一命,让她流放",012_C100B_038,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL110_012_040,ShowChoice,0,让他知道你比王皇后更狠,B06_012_C110A_041,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL110_012_040,ShowChoice,1,让他知道你比王皇后更好,012_C110B_042,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL130_012_045,ShowChoice,0,我相信陛下,012_C130A_046,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL130_012_045,ShowChoice,1,"照儿愿助陛下,拿回天子的权力",B14_012_C130B_047,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL140_012_049,ShowChoice,0,你从来都是我最好的朋友,012_C140A_050,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL140_012_049,ShowChoice,1,都过去了,012_C140B_051,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL080_012_029,ShowChoice,0,彻底销毁,012_032,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL040_012_009,ShowChoice,0,"姐姐,我一定会为你讨回公道的",012_C040A_010,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL040_012_009,ShowChoice,1,"姐姐,我一定帮你远离鄙夫",012_C040B_011,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL011_012_060,ShowChoice,0,默许陛下封你为昭仪,012_C011A_061,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL011_012_060,ShowChoice,1,婉言拒绝封你为昭仪,012_C011B_063,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL020_014_008,ShowChoice,0,"保母子平安,赏你黄金万两!",B02_014_C020A_009,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL020_014_008,ShowChoice,1,"若我出事,必诛你九族!",014_C020B_010,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL020_014_008,ShowChoice,2,保母子平安，孩子认你当义母！,B03_014_C020C_011,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL030_014_015,ShowChoice,0,"灯下黑,躲进衣柜",B05_014_C030A_016,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL030_014_015,ShowChoice,1,"赌一把,从后门冲出去",014_C030B_017,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL040_014_018,ShowChoice,0,留着她,014_C040A_019,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL040_014_018,ShowChoice,1,让她消失,014_C040B_020,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL060_014_021,ShowChoice,0,既然他们不让我做宸妃，那我便做皇后吧,014_C060A_022,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL050_014_026,ShowChoice,0,刺杀,B06_C050_014_027,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL050_014_026,ShowChoice,1,下毒,B07_C050_014_028,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL090_014_039,ShowChoice,1,散布死士已经被救走,N08_014_C090B_041,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL100_014_043,ShowChoice,0,宫人们的流言,N10_014_C100A_044,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL110_014_046,ShowChoice,0,"舒妃不是外人,有话直说",N11_014_C110A_047,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL110_014_046,ShowChoice,1,"有外人在,怎能如此口无遮拦",014_C110B_048,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL120_014_049,ShowChoice,0,幕后之人是皇后,014_C120A_050,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL120_014_049,ShowChoice,1,幕后之人是王皇后和萧舒妃,N12_014_C120B_051,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL130_014_052,ShowChoice,1,"让少量守卫在屋外,凌霄带更多守卫在屋内",014_C130B_054,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL010_014_002,ShowChoice,0,邀徐敏慧和你同乘,014_C010A_003,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL010_014_002,ShowChoice,1,默许徐敏慧上礼治的车,014_C010B_004,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL130_014_052,ShowChoice,0,"让凌霄带更多守卫在屋外,少量守卫在屋内",014_C130A_053,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL100_014_043,ShowChoice,2,萧舒妃,014_C100C_045,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL100_014_043,ShowChoice,1,萧舒妃的儿子素节,N15_014_C100B_090,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL101_014_091,ShowChoice,0,释放善意,N16_014_C101A_092,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL101_014_091,ShowChoice,1,释放恶意,014_C101B_093,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL150_014_058,ShowChoice,0,坐实皇后刺杀昭仪的罪名,B14_014_C150A_059,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL150_014_058,ShowChoice,1,栽赃给皇后一个更大的罪名,014_C130B_088,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL090_014_039,ShowChoice,2,散布死士已经招供,014_C090A_040,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL090_014_039,ShowChoice,0,散布死士已经死亡,N09_014_C090C_042,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL080_014_034,ShowChoice,0,编造他已中毒将死,Global_GlobalVariableSetter,Global_GlobalVariableSetter,__entryPoint
storyline_002_16cbaf3d79,CL080_014_034,ShowChoice,1,编造他的靠山王皇后已死,Global_GlobalVariableSetter,Global_GlobalVariableSetter,__entryPoint
storyline_002_16cbaf3d79,CL080_014_034,ShowChoice,2,编造他全族已被王皇后灭口,Global_GlobalVariableSetter,Global_GlobalVariableSetter,__entryPoint
storyline_002_f995c3c3da,CL011_015_061,ShowChoice,0,让所有人看看礼忠的真面目,B11_015_C011A_062,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,C030_015_013,ShowChoice,0,任由他撞,015_C030A_014,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,C030_015_013,ShowChoice,1,"踏入朝堂,高声怒喝",015_C030B_015,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,CL040_015_019,ShowChoice,0,"你受命于先帝,不应忤逆陛下",015_C040A_020,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,CL040_015_019,ShowChoice,1,你应当坐在这龙椅上才是,015_C040B_022,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,C060_015_029,ShowChoice,0,难道你不知此战是为陛下？,C060A_030,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,C060_015_029,ShowChoice,2,Key:ShowChoice-C060_015_029.choice+2.choiceText,B08_015_032,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,C070_015_034,ShowChoice,0,“大司空毫无将士之风骨”,015_C070A_035,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,CL080_015_037,ShowChoice,0,五成!,015_CL080A_038,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,CL080_015_037,ShowChoice,1,七成!,B10_015_CL080B_040,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,C010_015_002,ShowChoice,0,宣御医强行拯救,H11_015_C010A_003,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,C060_015_029,ShowChoice,1,难道你不知此战是为同袍将士？,015_C060B_031,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,C070_015_034,ShowChoice,1,“大司空欲留灾祸与后人吗？”,015_C070B_036,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,CL080_015_037,ShowChoice,2,十成!,015_CL080C_042,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,CL090_015_057,ShowChoice,0,不答应,015_CL090A_058,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,CL090_015_057,ShowChoice,1,答应,015_CL090B_059,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,CL050_015_025,ShowChoice,0,和长孙太尉化敌为友,N06_015_C050A_027,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,CL050_015_025,ShowChoice,1,拉拢更多底层官员,N05_015_C050B_028,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,CL050_015_025,ShowChoice,2,拉拢掌握兵权的武将,015_C050C_026,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,C010_015_002,ShowChoice,1,忍住悲痛，借势定罪,015_C010C_005,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,CL011_015_061,ShowChoice,1,按下真相，嫁祸皇后,015_C011C_064,PlayVideo_Ordinary,__entryPoint
storyline_003_2ab7b312cd,CL010_009_002,ShowChoice,0,正常地请安,009_C010A_003,PlayVideo_Ordinary,__entryPoint
storyline_003_2ab7b312cd,CL010_009_002,ShowChoice,1,委屈地请安,009_C010B_004,PlayVideo_Ordinary,__entryPoint
storyline_003_2ab7b312cd,CL011_009_005,ShowChoice,0,回抱他,009_C011A_006,PlayVideo_Ordinary,__entryPoint
storyline_003_2ab7b312cd,CL011_009_005,ShowChoice,1,不抱他,009_C011B_007,PlayVideo_Ordinary,__entryPoint
storyline_003_2ab7b312cd,CL020_009_009,ShowChoice,0,答应,B01_009_C020A_010,PlayVideo_Ordinary,__entryPoint
storyline_003_2ab7b312cd,CL020_009_009,ShowChoice,1,不答应,009_C020B_011,PlayVideo_Ordinary,__entryPoint
storyline_003_2ab7b312cd,CL040_009_022,ShowChoice,0,利用萧舒妃对王皇后的不满,B02_009_C040A_023,PlayVideo_Ordinary,__entryPoint
storyline_003_2ab7b312cd,CL040_009_022,ShowChoice,1,利用王皇后对萧舒妃的忌惮,009_C040B_024,PlayVideo_Ordinary,__entryPoint
storyline_003_2ab7b312cd,CL070_009_025,ShowChoice,1,不卑不亢,009_C070B_026,PlayVideo_Ordinary,__entryPoint
